Id,Titulo,Modelo,Marca,Estrelas,Avaliacoes,Url
#1931165, Family Hub Family Hub 26.5-cu ft French Door Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RF27T5501SR,Samsung ,4.5,386,https://www.lowes.com/pd/Samsung-Family-Hub-Family-Hub-26-5-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002692794
#876294, 24.5-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel),#WRS555SIHZ,Whirlpool ,4.0,884,https://www.lowes.com/pd/Whirlpool-24-5-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000379179
#852888, 18-cu ft Top-Freezer Refrigerator (EasyCare Stainless Steel),#LFTR1821TF,Frigidaire ,4.5,5671,https://www.lowes.com/pd/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-EasyCare-Stainless-Steel/1000254403
#2131369, 4.4-cu ft Freestanding Mini Fridge Freezer Compartment (Black Stainless Steel),#LCT43D6AVE,Hisense ,4.5,15,https://www.lowes.com/pd/Hisense-4-4-cu-ft-Counter-depth-Top-Freezer-Refrigerator-Black-Ss-Look-ENERGY-STAR/1002927634
#788145, 23.8-cu ft 3-Door Counter-Depth 36-in French Door Refrigerator - Stainless Steel with PrintShield Finish,#KRFC704FPS,KitchenAid ,4.5,1296,https://www.lowes.com/pd/KitchenAid-23-8-cu-ft-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel/1000384977
#1654839, Family Hub 26.7-cu ft Side-by-Side Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#RS27T5561SR,Samsung ,4.5,262,https://www.lowes.com/pd/Samsung-Family-Hub-26-7-cu-ft-Side-by-Side-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002238386
#1916616, 19.4-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker (Fingerprint-Resistant Metallic Steel) ENERGY STAR,#WRQA59CNKZ,Whirlpool ,4.0,5,https://www.lowes.com/pd/Whirlpool-19-4-cu-ft-4-Door-Counter-Depth-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Metallic-Steel-ENERGY-STAR/1003095600
#2118459, 18.3-cu ft Top-Freezer Refrigerator (Black) ENERGY STAR,#FFHT1835VB,Frigidaire ,4.5,209,https://www.lowes.com/pd/Frigidaire-18-3-cu-ft-Top-Freezer-Refrigerator-Black-ENERGY-STAR/1001833756
#2501309, SIGNATURE InstaView 22.8-cu ft 4-Door Counter-Depth French Door Refrigerator with Ice Maker and Door within Door (Fingerprint-Resistant Textured Steel) ENERGY STAR,#URNTC2306N,LG ,0.0,No Reviews,https://www.lowes.com/pd/LG-SIGNATURE-InstaView-14-2-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-with-and-Door-within-Door-Textured-Steel-ENERGY-STAR/1002860756
#1697392, Craft Ice Smart Wi-Fi Enabled 22.5-cu ft 4-Door Counter-Depth French Door Refrigerator with Dual Ice Maker and Door within Door (Fingerprint-Resistant Satinless Steel) ENERGY STAR,#LRMDC2306S,LG ,1.0,1,https://www.lowes.com/pd/LG-Craft-Ice-Smart-Wi-Fi-Enabled-22-5-cu-ft-4-Door-Counter-Depth-French-Door-Refrigerator-with-Dual-Ice-Maker-and-Door-within-Door-Fingerprint-Resistant-Satinless-Steel-ENERGY-STAR/1002648818
#490610, 24.5-cu ft 4-Door French Door Refrigerator with Ice Maker (Fingerprint-Resistant Black Stainless) ENERGY STAR,#WRX735SDHV,Whirlpool ,4.5,4902,https://www.lowes.com/pd/Whirlpool-24-5-cu-ft-4-Door-French-Door-Refrigerator-with-Ice-Maker-Fingerprint-Resistant-Black-Stainless-ENERGY-STAR/1000233419
#1659667, 24.8-cu ft French Door Refrigerator with Ice Maker (Stainless Steel) ENERGY STAR,#GNE25JSKSS,GE ,4.5,3271,https://www.lowes.com/pd/GE-24-8-cu-ft-French-Door-Refrigerator-with-Ice-Maker-Stainless-Steel-ENERGY-STAR/1001381630
#1110028, Smart Wi-Fi Enabled 26.2-cu ft French Door Refrigerator with Dual Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR,#LFXS26973S,LG ,4.5,832,https://www.lowes.com/pd/LG-Smart-Wi-Fi-Enabled-26-2-cu-ft-French-Door-Refrigerator-with-Dual-Ice-Maker-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1000571911
